Video URL,Title,Likes Count,Comment Count
https://www.youtube.com/watch?v=9zJlWn3aNIY,What I Eat in a Day lazy girl edition,5605,231
https://www.youtube.com/watch?v=xsS3hx1DhKA,Alone in New York  week in my life VLOG,7818,268
https://www.youtube.com/watch?v=H1XHoOmLdGI,my 10pm night routine  living alone in NYC,7260,214
https://www.youtube.com/watch?v=4AwKAHib_nc,Living Alone Diaries  a day in my life in NYC vlog,11557,280
https://www.youtube.com/watch?v=GRA2Jxjra1E,my everyday makeup routine,5162,155
https://www.youtube.com/watch?v=6Pi0DuCWS3E,a busy day in my life  VLOG,9085,270
https://www.youtube.com/watch?v=s4Iz_xqrCh4,buying my dream wardrobe online shopping  tryon haul,15580,248
https://www.youtube.com/watch?v=ENokunLmgDE,living alone diaries  a random day in my life vlog,8576,194
https://www.youtube.com/watch?v=tdL0OMLpPxk,a productive  busy day in my life  VLOG,10324,227
https://www.youtube.com/watch?v=G-5stwdzkhc,PREP FOR 2024 W ME  goals organizing  reset,7425,187
https://www.youtube.com/watch?v=aRxQMVmM0-w,thrift with me in NYC  vlog,7620,192
https://www.youtube.com/watch?v=wVJ1CZYt0Cg,VLOG  christmas in new york city,7380,209
https://www.youtube.com/watch?v=XVKzwSYvLGA,VLOG  a very realistic day in my life at home,10321,300
https://www.youtube.com/watch?v=AGu7agXb9cw,waking up at 5am every day for a week,11700,272
https://www.youtube.com/watch?v=VJvjpWmzytE,trying every coffee shop in New York,12405,441
https://www.youtube.com/watch?v=rVH3SNicRKU,VLOG  a productive  busy day in my life,17619,348
https://www.youtube.com/watch?v=9Di_RcqXR-A,Sydney Serenas Guide to Glowy Everyday Makeup  Beauty Secrets  Vogue,7026,152
https://www.youtube.com/watch?v=bcfCeRXXrgY,living alone in New York  VLOG,15801,432
https://www.youtube.com/watch?v=GLBxtOxmxBo,decorating my NYC apartment  MOVING VLOGS ep2,9904,275
https://www.youtube.com/watch?v=HzX7yecdMgY,Moving to New York City Alone  MOVING VLOGS ep1,15054,520
https://www.youtube.com/watch?v=cXC0J8BUXuY,VLOG  a realistic day in my life,6550,251
https://www.youtube.com/watch?v=q6j1BT0rgTM,lets go makeup shopping at sephora  haul,12235,237
https://www.youtube.com/watch?v=Pz68t3RGeqI,VLOG  a busy day in my life,42239,736
https://www.youtube.com/watch?v=HIpTojixKsI,shopping for viral tiktok makup at ulta,12163,242
https://www.youtube.com/watch?v=XKs7JFOxAQE,my 10am summer morning routine,7397,150
https://www.youtube.com/watch?v=LV2QTDiAxwc,HOT GIRL SUMMER VACATION vlog,6942,157
https://www.youtube.com/watch?v=3bxKBSCgk-I,VLOG  a busy day in my life haul cooking etc,8481,182
https://www.youtube.com/watch?v=gA-FA2a6ESI,ALONE IN NEW YORK vlog,21807,524
https://www.youtube.com/watch?v=UDvw_GIR5_g,Im never going on omegle again,19925,425
https://www.youtube.com/watch?v=Z2_YXRPmkD8,VLOG  a productive day in my life skims haul hair appt etc,11559,252
https://www.youtube.com/watch?v=lvW2CY7UicE,hot girls dont gatekeep products you NEED,24157,293
https://www.youtube.com/watch?v=_H_gIkRpOmU,the perfect summer vlog  ,11116,218
https://www.youtube.com/watch?v=edhcZpFbWpc,I Graduated College,8120,414
https://www.youtube.com/watch?v=PLRuRWvMzoc,glowing up in 24 hours challenge,9721,180
https://www.youtube.com/watch?v=N-HEhkiUnG4,pulling an all nighter for finals week,18001,249
https://www.youtube.com/watch?v=nx6Wpz8u14I,college outfits of the week  what i wear to class,5477,140
https://www.youtube.com/watch?v=RuBF71zvUgk,GRWM for a college night out ,5739,116
https://www.youtube.com/watch?v=kpEh8Y-Xffo,VLOG  a busy day in my life makeup shopping errands etc,10558,178
https://www.youtube.com/watch?v=mUAr9CxmCF4,BIKINIS YOU NEED IN YOUR LIFE 2023,7980,325
https://www.youtube.com/watch?v=0T1a1VDGFew,SPRING BREAK IN VEGAS,5140,170
https://www.youtube.com/watch?v=p4pGLIfZnxM,lets go self care shopping at target,38427,577
https://www.youtube.com/watch?v=Qk0uFJ-hvP0,lets talk confidence,6391,185
https://www.youtube.com/watch?v=gZg3MHEL258,sunday reset routine pilates cleaning  grocery shopping,7832,166
https://www.youtube.com/watch?v=_XisISJ5oQI,buying my dream wardrobe online shopping  tryon haul,19827,236
https://www.youtube.com/watch?v=mjXv3_cnrw0,taco bell mukbang ft spilling all the tea,7143,185
https://www.youtube.com/watch?v=E77FWJRHjVs,my college night routine vlog style,8907,173
https://www.youtube.com/watch?v=HLmCoLOehYY,LA day in my life  VLOG,9502,209
https://www.youtube.com/watch?v=orGENToFUFE,Sydney Serenas Guide to Glowy Effortless Makeup  Beauty Secrets  Vogue,7785,143
https://www.youtube.com/watch?v=7uaDZ8whGTg,VLOG  a day in my life,8117,238
https://www.youtube.com/watch?v=IRnm2vlS-Zk,how to be THAT girl getting my life together ,13445,244
